,channelTitle,publishingYear,pop_unpop,num_videos,average_duration_mins
0,Aika Agustin,2019,0,11,10.492424242424242
1,Aika Agustin,2022,0,45,11.476666666666667
2,Aika Agustin,2020,0,49,11.859183673469387
3,Aika Agustin,2023,0,31,12.134408602150538
4,Aika Agustin,2021,0,55,12.157575757575758
5,Amazing Places on Our Planet,2023,1,49,4.484353741496599
6,Amazing Places on Our Planet,2009,1,1,4.6
7,Amazing Places on Our Planet,2016,1,40,6.434166666666667
8,Amazing Places on Our Planet,2014,1,25,7.010666666666666
9,Amazing Places on Our Planet,2010,1,1,7.566666666666666
10,Amazing Places on Our Planet,2015,1,40,7.574166666666667
11,Amazing Places on Our Planet,2017,1,30,8.120555555555557
12,Amazing Places on Our Planet,2019,1,38,8.199561403508772
13,Amazing Places on Our Planet,2013,1,21,8.312698412698413
14,Amazing Places on Our Planet,2018,1,39,8.347435897435897
15,Amazing Places on Our Planet,2011,1,2,8.675
16,Amazing Places on Our Planet,2022,1,25,9.608
17,Amazing Places on Our Planet,2020,1,30,10.639444444444445
18,Amazing Places on Our Planet,2012,1,10,10.758333333333333
19,Amazing Places on Our Planet,2021,1,27,10.95
20,Avi vlogz,2023,0,66,16.006818181818183
21,Avi vlogz,2021,0,137,16.992822384428223
22,Avi vlogz,2019,0,157,17.30265392781316
23,Avi vlogz,2020,0,103,17.995307443365693
24,Avi vlogz,2022,0,87,19.140229885057472
25,Gaston Marotta,2018,0,16,8.703125
26,Gaston Marotta,2019,0,36,8.83611111111111
27,Gaston Marotta,2020,0,44,16.78409090909091
28,Gaston Marotta,2021,0,42,19.460317460317462
29,Gaston Marotta,2023,0,61,21.58743169398907
30,Gaston Marotta,2022,0,65,25.40948717948718
31,Google Local Guides,2015,0,8,0.7395833333333334
32,Google Local Guides,2016,0,24,1.4145833333333333
33,Google Local Guides,2018,0,61,3.506830601092896
34,Google Local Guides,2019,0,33,3.8141414141414143
35,Google Local Guides,2017,0,72,3.8761574074074074
36,Google Local Guides,2020,0,4,5.2875
37,Google Local Guides,2022,0,1,23.016666666666666
38,Google Local Guides,2021,0,1,30.15
39,Happy Channel,2023,1,500,10.1577
40,Happy Channel,2022,1,383,12.753872932985205
41,Indian Desi Traveller,2023,1,224,1.7283482142857143
42,Indian Desi Traveller,2022,1,89,7.927340823970038
43,Indian Desi Traveller,2021,1,17,8.204901960784314
44,Indian Desi Traveller,2020,1,22,8.820454545454545
45,Indian Desi Traveller,2019,1,9,8.994444444444444
46,Jacek Zarzycki,2015,0,45,4.140740740740741
47,Jacek Zarzycki,2014,0,46,4.347463768115942
48,Jacek Zarzycki,2016,0,105,5.04031746031746
49,Jacek Zarzycki,2022,0,52,5.303525641025641
50,Jacek Zarzycki,2023,0,50,7.478666666666667
51,Jacek Zarzycki,2021,0,49,7.617687074829932
52,Jacek Zarzycki,2018,0,26,7.742307692307692
53,Jacek Zarzycki,2017,0,48,8.525347222222221
54,Jacek Zarzycki,2020,0,17,9.484313725490194
55,Jacek Zarzycki,2012,0,7,9.507142857142858
56,Jacek Zarzycki,2019,0,50,10.080333333333334
57,Jacek Zarzycki,2013,0,39,11.355128205128205
58,Kara and Nate,2016,1,248,9.861155913978495
59,Kara and Nate,2017,1,168,11.275992063492064
60,Kara and Nate,2018,1,113,11.614306784660766
61,Kara and Nate,2019,1,105,13.557142857142857
62,Kara and Nate,2020,1,57,20.855263157894736
63,Kara and Nate,2021,1,51,21.29901960784314
64,Kara and Nate,2023,1,75,22.42088888888889
65,Kara and Nate,2022,1,48,24.821875
66,MoranDays,2011,1,16,5.310416666666667
67,MoranDays,2012,1,16,13.06875
68,MoranDays,2017,1,8,17.447916666666668
69,MoranDays,2018,1,19,18.490350877192984
70,MoranDays,2022,1,1,18.75
71,MoranDays,2016,1,33,21.113636363636363
72,MoranDays,2013,1,27,22.921604938271606
73,MoranDays,2014,1,44,23.491666666666667
74,MoranDays,2019,1,4,25.079166666666666
75,MoranDays,2015,1,47,25.245390070921985
76,MoranDays,2020,1,7,32.74047619047619
77,MoranDays,2021,1,3,47.011111111111106
78,MoranDays,2023,1,7,105.72619047619047
79,Mundo Sem Fim,2016,1,18,0.5333333333333333
80,Mundo Sem Fim,2017,1,43,1.2813953488372092
81,Mundo Sem Fim,2015,1,3,1.5888888888888888
82,Mundo Sem Fim,2018,1,70,10.644761904761905
83,Mundo Sem Fim,2019,1,153,12.758278867102398
84,Mundo Sem Fim,2020,1,127,16.550918635170603
85,Mundo Sem Fim,2021,1,99,21.94090909090909
86,Mundo Sem Fim,2022,1,95,24.638596491228068
87,Mundo Sem Fim,2023,1,93,28.91774193548387
88,Peter Santenello,2009,1,4,0.6083333333333333
89,Peter Santenello,2011,1,2,0.6416666666666667
90,Peter Santenello,2012,1,5,1.4366666666666668
91,Peter Santenello,2015,1,3,2.905555555555556
92,Peter Santenello,2016,1,1,3.7666666666666666
93,Peter Santenello,2017,1,17,9.607843137254902
94,Peter Santenello,2019,1,36,17.810185185185183
95,Peter Santenello,2020,1,54,20.28364197530864
96,Peter Santenello,2018,1,14,27.863095238095237
97,Peter Santenello,2021,1,57,31.451754385964914
98,Peter Santenello,2022,1,45,33.36148148148148
99,Peter Santenello,2023,1,47,49.437943262411345
100,Sin Postal,2023,0,134,7.078980099502488
101,Sin Postal,2018,0,31,7.893010752688172
102,Sin Postal,2022,0,58,13.502298850574713
103,Sin Postal,2019,0,25,13.613333333333333
104,Sin Postal,2020,0,25,23.029999999999998
105,Sin Postal,2021,0,19,25.604385964912282
106,Theme Park Worldwide,2021,0,236,26.627189265536725
107,Theme Park Worldwide,2022,0,356,26.91367041198502
108,Theme Park Worldwide,2023,0,358,29.134264432029795
109,Travel with AK,2021,0,16,12.7
110,Travel with AK,2022,0,66,12.737626262626263
111,Travel with AK,2023,0,82,21.556910569105693
112,WanderDa,2018,0,1,1.1166666666666667
113,WanderDa,2016,0,7,2.0428571428571427
114,WanderDa,2017,0,5,2.9133333333333336
115,WanderDa,2019,0,1,3.7
116,WanderDa,2023,0,106,6.183018867924528
117,WanderDa,2020,0,15,7.4655555555555555
118,WanderDa,2022,0,27,7.7024691358024695
119,WanderDa,2021,0,8,20.45
120,Wolters World,2023,1,168,10.122123015873017
121,Wolters World,2018,1,151,13.085209713024282
122,Wolters World,2022,1,140,13.675357142857143
123,Wolters World,2019,1,127,19.274803149606296
124,Wolters World,2021,1,147,21.63503401360544
125,Wolters World,2020,1,166,44.24176706827309
126,alanxelmundo,2013,1,71,7.026056338028169
127,alanxelmundo,2011,1,37,7.248198198198198
128,alanxelmundo,2012,1,22,7.696212121212121
129,alanxelmundo,2010,1,17,8.73921568627451
130,alanxelmundo,2014,1,86,9.449806201550388
131,alanxelmundo,2022,1,39,9.631623931623931
132,alanxelmundo,2017,1,120,12.920416666666666
133,alanxelmundo,2016,1,129,13.142118863049095
134,alanxelmundo,2015,1,117,13.47037037037037
135,alanxelmundo,2021,1,57,14.193859649122807
136,alanxelmundo,2019,1,38,14.762719298245615
137,alanxelmundo,2018,1,75,16.115333333333332
138,alanxelmundo,2023,1,16,16.885416666666668
139,alanxelmundo,2020,1,27,17.511728395061727
140,bald and bankrupt,2018,1,97,9.38144329896907
141,bald and bankrupt,2019,1,81,14.0820987654321
142,bald and bankrupt,2020,1,29,17.74655172413793
143,bald and bankrupt,2021,1,14,27.492857142857144
144,bald and bankrupt,2022,1,12,41.43472222222223
145,bald and bankrupt,2023,1,13,42.87692307692308
146,wocomoTRAVEL,2015,0,46,19.77536231884058
147,wocomoTRAVEL,2014,0,4,24.0
148,wocomoTRAVEL,2019,0,70,33.881904761904764
149,wocomoTRAVEL,2017,0,257,34.66517509727626
150,wocomoTRAVEL,2020,0,55,36.36757575757576
151,wocomoTRAVEL,2023,0,61,37.47267759562841
152,wocomoTRAVEL,2018,0,114,39.435818713450296
153,wocomoTRAVEL,2016,0,56,44.55327380952381
154,wocomoTRAVEL,2021,0,76,45.867763157894736
155,wocomoTRAVEL,2022,0,51,49.84084967320261
